Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/7/2018 17:21,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/7/2018 17:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/7/2018 20:29,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:26,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:26,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:26,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:34,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:34,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:38,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:42,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 22:42,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:45,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,10
10/1/2018 10:50,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 10:55,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,7
10/1/2018 10:56,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/1/2018 11:00,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/1/2018 11:00,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 11:05,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/1/2018 11:34,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 11:57,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,16
10/1/2018 12:15,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 12:42,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,6
10/1/2018 12:49,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,5
10/1/2018 14:34,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 14:34,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 14:34,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 16:10,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:43,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:43,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:44,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:45,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:45,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 20:46,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 21:50,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/2/2018 13:14,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,12
10/2/2018 13:34,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,3
10/2/2018 14:19,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 14:20,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 14:32,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,50
10/2/2018 14:41,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,6
10/2/2018 14:46,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 14:49,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 14:51,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 14:59,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/2/2018 15:10,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/3/2018 0:21,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 0:22,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 0:31,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 10:52,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 10:59,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 11:02,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 12:55,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 16:24,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/3/2018 20:48,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/4/2018 10:48,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,4
10/4/2018 11:19,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/4/2018 12:09,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/4/2018 13:38,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,4
10/4/2018 14:30,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,2
10/4/2018 14:33,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/5/2018 12:05,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/5/2018 12:07,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/5/2018 12:08,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/5/2018 12:09,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/5/2018 12:26,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/6/2018 19:28,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/6/2018 19:28,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/6/2018 21:19,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/6/2018 21:33,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/6/2018 21:36,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 11:43,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 16:09,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 16:36,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 16:37,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 16:37,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 17:36,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,5
10/7/2018 17:37,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 20:42,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 20:49,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 21:15,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 21:16,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 21:27,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:01,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:03,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:06,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:09,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:26,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:48,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:48,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/7/2018 22:49,bigenergy.dsc.umich.edu,m-aab-1000-color-1,PRINT,1
10/1/2018 11:19,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,5
10/1/2018 11:22,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,5
10/1/2018 12:21,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,2
